"plot","CP3-012","CP3-014","CP3-2023-01","CP3-998","CP5-002","DryGB2-006","DryGB2-019","DryGB3-996","DryGB3-997","DryGB3-998","DryGB3-999","DryGB4-009","DryGB5-019","GB3-003","GB3-014","GB4-007","GB4-018","GB4-020","GB4-997","GB4-998","GB4-999","GB5-005","GB5-019x","GB6-011","GB6-999","GB7-002","GP3-008","GP3-997","GP3-999","GP4-999","GP5-005","PNWMtn3-008","PNWMtn7-012","RkyMtn4-015","RkyMtn4-017","RkyMtn4-999","RkyMtn5-015","RkyMtn5-017","RkyMtn5-999","RkyMtn6-010","RkyMtn7-999","WYBas2-006","WYBas3-014","WYBas3-999","WYBas4-010","WYBas4-019","WYBas4-999","WYBas5-020","WYBas5-999","WYBas6-007","WYBasX-001"
"GB5-019x",185.670141927079,152.948290498878,190.280376363784,199.136158372847,131.612285845374,203.248265209222,193.513160382788,214.898091032333,180.166438786996,149.943817169947,192.861085433835,180.145183639754,180.598482518903,197.32976162087,128.135990574955,204.964441815183,194.407773064829,122.954824180943,215.731915956803,178.207159621348,147.09181309575,174.637337021622,197.973469722446,186.78996436286,199.617204050334,188.441975986813,150.581034735543,207.961847666126,208.724293555513,192.608356833745,192.246763451552,186.795190904711,212.889304984899,167.347857115988,184.100880133066,204.982514799887,207.887843929709,203.940133558947,196.76295150268,209.654281485532,214.933738568989,167.7628902942,149.023854558369,188.40363435463,195.105062868915,193.316583320458,179.844093390058,179.767686373813,207.355796825361,218.622800817661,173.718117693193
"GB6-011",199.696422064899,160.374063013099,205.150182088421,214.518146659993,134.408401542311,217.678432234632,206.988906007985,231.761698711882,191.7507449783,157.538280879624,207.346429873719,193.209388324972,190.829963481252,211.612453153158,127.087236295949,219.631454823345,207.989863399035,124.585339672791,231.260352692889,193.399603408336,154.259112410708,181.624877056754,213.763836899881,200.397501203718,216.43121634426,205.032123830598,167.579983926782,225.167268878989,225.169963348775,211.423768728177,207.88461867958,199.096680903878,228.615540182531,175.344314072308,200.914351156792,220.251469860863,224.587194768733,219.442306931912,213.890287801981,227.242173276256,232.174578780961,175.829162131735,159.925419733247,202.045210044332,212.334632991499,209.651977976993,191.248828223353,191.532604885104,223.530121861492,234.931775517908,189.058700401475
"GB6-999",245.624531724665,196.816666090207,257.234792168609,268.773486808691,165.986945882742,273.616497591118,254.415291573127,300.127395767537,235.081652105982,196.083606722848,256.213934041924,239.820027800368,230.146251295802,263.689859686439,153.893864757153,277.019987179943,257.635941087531,154.13908950468,296.312831392215,242.923557836667,189.910039620211,216.289162634769,269.324139619916,247.182896708519,277.507801798731,262.005689781191,209.885227994087,290.854149643031,288.197186019241,275.622997604641,261.495503353902,241.808519406931,292.536936369781,211.717509534382,255.026057892406,278.04068250247,287.324566828143,277.265241060088,273.088532160109,294.757093991663,300.121114809939,212.562901879148,197.793797489117,249.444649432016,271.730229854684,266.08400900778,231.518280332372,233.967541115344,284.525190335123,302.697859220451,234.55733564289
"GB7-002",219.803054397214,181.684413403063,230.250230812742,236.280139908056,155.289292399159,242.056700882194,229.636596042433,265.482157209136,216.917848717857,180.930021939527,228.881149426286,218.084496468216,213.921384299212,236.460354848136,148.120485635913,244.72967876985,233.206365629551,146.26311179692,263.086207922684,214.269140449117,174.81973690306,204.656128124717,238.62357501141,222.720874219094,245.71414398794,231.499273556529,178.185990077931,253.614211069549,253.634813453329,236.292303568673,232.081474409512,221.314003013587,257.799701979055,197.70344040037,222.716277753989,246.784505904115,252.80552266632,245.618543040455,239.311048892434,256.927650924281,262.593466278126,198.261740825901,177.269221037678,224.699600514146,237.539160895522,235.262190828491,213.082473285192,213.664836154148,251.611280437666,266.184907159469,206.455356005676
"GP3-008",94.3116513021242,83.9820562168915,95.9892132519124,102.61197043506,79.3511036790702,104.613629508916,98.5359317029536,108.271880403865,93.5893456731547,84.9061866161484,98.1021992451298,93.6237427584309,92.4300712464435,99.6516324720543,80.5243329351629,105.244218610422,98.0764893033682,79.0692989610704,108.924436552759,92.567152201674,82.6906178571285,90.8730983773972,99.8235781340352,94.4281969666362,101.51124504419,97.5140482685161,84.7348290811716,105.950507140442,105.372426907741,101.703709105478,97.2055109798626,94.9046902263691,108.124363456631,87.9365446294765,95.3000703275393,103.362467389378,105.071954958414,102.85189333038,100.501032178519,106.855935190026,108.951369088388,87.9487500756531,82.8497287827011,95.1378016908133,100.020000672275,97.9933151463609,91.7772329455997,91.8719487418479,104.04024674314,110.284285558889,90.7752040661745
"GP3-997",170.50746034356,134.757798822507,175.83150977957,191.635744382396,117.701887412248,193.020981192172,177.507017611635,208.665058127613,162.288375926881,134.997732656182,178.919443806172,164.085237940986,159.987645734061,182.404732902823,114.246104407362,195.389705267546,177.429211453061,112.789804964073,207.076172580831,168.713257640762,130.845388883115,152.583927282113,188.399736841115,170.591806477552,192.497160908196,180.460693142321,149.012938238781,207.784712400866,203.532198554332,199.629145760296,180.607963371268,168.035913482506,207.016732267417,146.701112594212,179.611154504081,193.875130582223,203.602356707348,194.316402359249,193.687831812543,210.874616590601,214.230618414609,146.83129020121,135.488194066207,172.355332343235,193.152934698513,183.78841179974,160.163130372191,161.818363722793,199.721443816769,214.734087954022,164.032960574687
"GP3-999",142.789793310208,115.002860483184,146.460529974479,161.199697115741,102.393344353954,163.750309859978,149.817276193543,174.944200102827,137.830807335422,116.234626520189,150.434188161514,138.648351582055,135.135176502299,153.42554211886,101.440476094215,165.453678183781,149.340673783237,100.552743537715,174.47540829144,139.273707281428,111.463688509981,130.304167256458,156.440076619228,142.355245455889,159.766457151038,149.797756331755,123.934142893666,171.9237694172,169.173673773285,164.079751324864,149.937068614339,141.574809662555,173.375217644479,124.714811644395,148.226582152255,162.535132089364,169.003377654337,162.365731814139,160.216945442087,174.212457693605,177.778940548531,124.787850654239,114.133173833207,143.878380485842,159.719070624608,152.349082435728,134.70056837085,135.361664861766,166.32706596966,179.588547623321,136.186492139655
"GP4-999",135.871181130633,111.268925135798,141.086867905963,155.133416316622,99.6790999227901,157.767669944271,142.765796633104,172.38266513622,131.578109818073,112.205343848629,143.504563841896,132.801369570732,128.160499130389,147.017921685602,98.821232407667,159.93418117851,142.77354034105,97.9729944329127,171.001037803377,134.607357749385,108.19594264736,123.088639246159,151.891568318428,136.217621503215,156.141587232698,145.387607307327,118.428683568623,170.339443201801,166.249815667385,162.782998098063,144.89499875092,134.43657412959,170.591249591504,118.949340706448,144.051131447224,157.584912066339,166.486891555925,157.769208748266,157.062525050684,173.649151292216,177.25232752612,119.142884244999,110.740978475747,137.713681322771,156.613763177604,147.944935100749,128.172224877256,129.179326821914,163.036828069581,178.316729912533,130.404358329777
"GP5-005",168.990094811972,140.78141134133,174.858275250393,185.218360909645,124.342813397903,186.62079456533,173.84780833465,204.620664244704,164.276634946776,141.188180809649,174.964822722835,166.587597499717,160.890507870969,178.644479523367,119.655308438537,188.915405457884,175.337976371879,118.516285012296,201.588733072082,169.722596602938,137.052021839716,154.452974476243,184.113461793581,169.355689986015,189.953846923897,180.64757713155,150.894449127017,202.627970920637,198.257719588677,195.736670280373,178.667650007828,166.570480445743,200.797194103496,150.327495814806,177.115335075948,188.550261913246,197.925290176972,188.607141335585,189.031317989239,205.814128809177,208.540188402209,150.929044021692,140.742322402834,170.646201406274,188.522731944325,181.565164227784,161.114323950525,162.706547293441,194.584118267848,208.687321885972,164.347525886014
"PNWMtn3-008",116.032140298567,98.9161975146174,116.63847748491,122.110769889124,89.7479240077096,123.637917264575,119.857480127919,124.192220302784,112.003796675312,96.420838881275,119.424601604553,111.500398893089,114.56220131216,120.456248898448,90.6503725236597,124.032607028654,119.037999916864,83.0781122384202,125.913944904053,111.63011054635,96.442535844583,113.103872068372,120.12390371406,116.286619289564,119.207793377362,114.95248112918,100.537810039834,123.151975986547,123.382448082616,117.578811349132,117.35886114052,117.335383012643,125.982484120608,107.989701569525,114.630750607594,122.921889293148,123.392736082965,122.578630318491,119.214684965518,123.754343949486,125.782359713616,107.742018532356,97.0759290112755,116.961295595873,118.517268512181,117.344675152593,113.938550399802,113.536636179126,122.67902043,127.10727244607,110.959585221618
"PNWMtn7-012",201.170990689693,151.605440731952,203.864110371362,222.003674692668,128.474441119266,227.466091395014,213.172266032101,230.665508887942,180.959341500774,145.720284644443,212.918277863242,184.127404853064,189.901351198876,217.186862545376,119.647297253853,229.003193762452,210.36280476792,111.046530452379,236.911599210625,186.974962163145,145.366501280902,179.994158984065,215.035799435164,200.654367751913,214.354984322281,199.436057702927,160.658609549679,224.160580491105,226.785067521139,203.659273013301,206.380333127515,201.490218130921,235.04379840281,170.166713124118,195.654344902112,225.814107985477,225.617631791758,224.498376180662,210.747716852037,224.647909629528,232.511785435601,170.180601708506,150.845333868399,203.181635407152,208.349464541292,206.363625965385,189.572382267012,189.519874867267,224.412661418817,239.044927369436,185.20112674557
"RkyMtn4-015",168.378883514667,133.963112759865,172.396852234305,185.613522206443,115.694158517634,187.846091414056,175.905746198464,197.012042873926,155.357390277376,129.480848003877,176.425174126353,156.824545167592,159.549483929046,179.08970795634,111.355520954712,189.625499485875,173.95574127082,102.365996816697,197.230116964089,165.306608700457,130.081829880486,153.67913765122,183.376188803009,168.953063824577,184.746826482924,173.514507006318,144.805452565217,197.659604836758,194.588922152177,189.812859563515,176.335005515091,167.459437931582,198.715795113991,146.948292944492,174.874869752644,187.971568116957,195.195397695581,188.444906590602,186.661951765277,200.617588623505,203.675133744324,146.765950238686,134.003363723123,170.642832453562,185.93139583658,178.445695503519,159.57848742249,161.020648585069,191.935469075374,204.109081325305,160.997889974464
