code,Scientific.Name.with.Author,Common.Name,Family,FunctionalType,GrowthForm
CRTO4,Cryptantha torreyana (A. Gray) Greene,Torrey's cryptantha,Boraginaceae,AF,AF
CRWA2,Cryptantha watsonii (A. Gray) Greene,Watson's cryptantha,Boraginaceae,AF,AF
HAMI,Hackelia micrantha (Eastw.) J.L. Gentry,Jessica sticktight,Boraginaceae,PF,PF
LAOC3,Lappula occidentalis (S. Watson) Greene,flatspine stickseed,Boraginaceae,AF,AF
LIIN2,Lithospermum incisum Lehm.,narrowleaf stoneseed,Boraginaceae,PF,PF
LIRU4,Lithospermum ruderale Douglas ex Lehm.,western stoneseed,Boraginaceae,PF,PF
MEOB,Mertensia oblongifolia (Nutt.) G. Don,oblongleaf bluebells,Boraginaceae,PF,PF
ALAL3,Alyssum alyssoides (L.) L.,pale madwort,Brassicaceae,AF,AF
ALDE,Alyssum desertorum Stapf,desert madwort,Brassicaceae,AF,AF
ARDR,Arabis drummondii A. Gray,Drummond's rockcress,Brassicaceae,PF,PF
ARHO2,Arabis holboellii Hornem.,Holboell's rockcress,Brassicaceae,PF,PF
ARPE10,Arabis holboellii Hornem.,Holboell's rockcress,Brassicaceae,PF,PF
ARABI2PF,Arabis L.,rockcress,Brassicaceae,PF,PF
ARLE,Arabis lemmonii S. Watson,Lemmon's rockcress,Brassicaceae,PF,PF
ARLI,Arabis lignifera A. Nelson,desert rockcress,Brassicaceae,PF,PF
ARPU,Arabis puberula Nutt.,silver rockcress,Brassicaceae,PF,PF
ARSC2,Arabis schistacea Rollins,divided rockcress,Brassicaceae,PF,PF
ARSP,Arabis sparsiflora Nutt.,sicklepod rockcress,Brassicaceae,PF,PF
ARDI2,Arabis xdivaricarpa A. Nelson (pro sp.),spreadingpod rockcress,Brassicaceae,PF,PF
CACR11,Caulanthus crassicaulis (Torr.) S. Watson,thickstem wild cabbage,Brassicaceae,PF,PF
CHTE2,Chorispora tenella (Pall.) DC.,crossflower,Brassicaceae,AF,AF
DEIN5,Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn,mountain tansymustard,Brassicaceae,PF,PF
DEPA14,Descurainia paradisa (A. Nelson & Kennedy) O.E. Schulz,paradise tansymustard,Brassicaceae,AF,AF
DEPI,Descurainia pinnata (Walter) Britton,western tansymustard,Brassicaceae,AF,AF
DESO2,Descurainia sophia (L.) Webb ex Prantl,herb sophia,Brassicaceae,AF,AF
DRABAAF,Draba L.,draba,Brassicaceae,AF,AF
DRRE2,Draba reptans (Lam.) Fernald,Carolina draba,Brassicaceae,AF,AF
DRVE2,Draba verna L.,spring draba,Brassicaceae,AF,AF
ERAS2,Erysimum asperum (Nutt.) DC.,western wallflower,Brassicaceae,PF,PF
ERCA14,Erysimum capitatum (Douglas ex Hook.) Greene,sanddune wallflower,Brassicaceae,PF,PF
LEDE,Lepidium densiflorum Schrad.,common pepperweed,Brassicaceae,AF,AF
LEPE2,Lepidium perfoliatum L.,clasping pepperweed,Brassicaceae,AF,AF
LEAR6,Lesquerella arenosa (Richardson) Rydb.,Great Plains bladderpod,Brassicaceae,PF,PF
LECO7,Lesquerella cordiformis (Rollins) Rollins & Shaw,Wassuk Range bladderpod,Brassicaceae,PF,PF
LEMO3,Lesquerella montana (A. Gray) S. Watson,mountain bladderpod,Brassicaceae,PF,PF
SCLI,Schoenocrambe linifolia (Nutt.) Greene,flaxleaf plainsmustard,Brassicaceae,PF,PF
SIAL2,Sisymbrium altissimum L.,tall tumblemustard,Brassicaceae,AF,AF
STLO4,Streptanthella longirostris (S. Watson) Rydb.,longbeak streptanthella,Brassicaceae,AF,AF
STCO6,Streptanthus cordatus Nutt.,heartleaf twistflower,Brassicaceae,PF,PF
