"plot","transect","animal","age","count"
"WYBas5-999",2,"antelope","old",1
"WYBas5-999",2,"cow","old",1
"WYBas5-999",2,"deer","recent",2
"WYBas5-999",2,"deer","old",2
"WYBas5-999",2,"elk","recent",5
"WYBas5-999",2,"elk","old",2
"WYBas5-999",3,"antelope","old",1
"WYBas5-999",3,"deer","recent",4
"WYBas5-999",3,"deer","old",4
"WYBas5-999",3,"elk","old",2
"WYBas6-007",1,"antelope","old",3
"WYBas6-007",1,"antelope","recent",1
"WYBas6-007",1,"deer","old",2
"WYBas6-007",1,"deer","recent",1
"WYBas6-007",1,"sagegrouse","old",2
"WYBas6-007",2,"antelope","old",1
"WYBas6-007",2,"cow","old",1
"WYBas6-007",2,"deer","recent",1
"WYBas6-007",2,"elk","recent",1
"WYBas6-007",2,"elk","old",2
"WYBas6-007",3,"deer","recent",1
"WYBas6-007",3,"deer","old",1
"WYBas6-007",3,"elk","recent",2
"WYBasX-001",1,"deer","old",4
"WYBasX-001",1,"deer","recent",1
"WYBasX-001",1,"elk","recent",3
"WYBasX-001",1,"elk","old",5
"WYBasX-001",2,"deer","old",4
"WYBasX-001",2,"deer","recent",1
"WYBasX-001",2,"elk","recent",5
"WYBasX-001",2,"elk","old",3
"WYBasX-001",3,"deer","old",3
"WYBasX-001",3,"deer","recent",1
"WYBasX-001",3,"elk","old",7
"WYBasX-001",3,"elk","recent",5
